subject,SCHOOL,PM,DM,DAY,GROUP,Spelling,token_test
1,0,0.79,0.74,0,0,8,41
2,0,0.82,0.85,0,0,11,44
3,0,0.57,0.62,0,0,11,38
4,0,0.48,0.84,0,0,11,38
5,0,0.75,0.75,0,1,4,41
6,0,0.59,0.79,0,1,5,39
7,0,1,0.89,0,0,11,41
8,0,0.63,0.55,0,0,10,40
9,0,0.83,0.8,0,0,11,43
10,0,0.67,0.72,0,0,13,43
11,0,0.57,0.69,0,0,7,43
12,0,0.77,0.59,0,0,8,41
13,0,0.71,0.76,0,0,8,42
14,0,0.7,0.58,0,0,9,42
15,0,0.68,0.69,0,0,10,40
16,0,0,0.74,0,1,5,41
17,0,0.58,0.83,0,0,10,41
18,0,0.72,0.5,0,0,11,39
19,0,0.49,0.67,0,0,12,43
20,0,0.54,0.43,0,0,8,39
21,0,0.51,0.65,0,0,10,39
22,0,0.83,0.75,0,0,11,37
23,0,0.66,0.81,0,0,11,39
24,0,0.71,0.77,0,0,1,43
25,0,0.25,0.64,0,0,10,44
26,0,0.55,0.46,0,0,10,37
27,0,0.58,0.87,0,0,14,42
28,0,0.48,0.53,0,1,6,39
29,0,0.5,0.67,0,0,12,31
30,0,0.62,0.41,0,1,5,38
31,0,0.88,0.85,0,0,13,38
32,0,0.55,0.53,0,0,10,42
33,0,0.48,0.73,0,1,6,40
34,0,0.59,0.84,0,0,13,36
35,0,0.57,0.75,0,1,8,33
36,0,0.37,0.57,0,0,8,41
37,0,0.65,0.74,0,0,11,43
38,0,0.44,0.61,0,0,12,36
39,0,0.53,0.7,0,1,7,30
40,0,0.46,0.5,0,0,13,42
41,0,0.67,0.39,0,1,8,31
42,1,0.57,0.6,0,0,10,42
43,1,0.74,0.79,0,1,2,40
44,1,0.81,0.73,0,0,14,34
45,1,0.93,0.5,0,0,10,42
46,1,0.46,0.69,0,1,6,39
47,1,0.78,0.61,0,1,7,36
48,1,0.62,0.61,0,0,14,35
49,1,0.83,0.63,0,1,8,23
50,1,0.76,0.7,0,0,14,43
51,1,0.87,0.68,0,0,15,41
52,1,1,0.65,0,1,10,28
53,1,0.74,0.63,0,0,12,40
54,1,0.64,0.53,0,0,9,39
55,1,0.49,0.67,0,0,11,39
56,1,0,0.46,0,1,8,37
57,1,0.81,0.65,0,0,13,31
58,1,0.62,0.61,0,0,11,40
59,1,0.87,0.67,0,0,12,40
60,1,0.94,0.69,0,0,13,39
61,1,0.78,0.73,0,0,10,42
62,1,0.78,0.63,0,0,12,40
63,1,0.61,0.64,0,0,10,39
64,1,0.51,0.58,0,0,9,39
65,1,0.75,0.75,0,0,8,44
66,1,0.75,0.52,0,0,13,39
67,1,0.75,0.64,0,0,15,41
68,1,0.92,0.68,0,0,12,41
69,1,0.87,0.66,0,0,13,37
70,1,0.68,0.73,0,0,13,40
71,1,0.57,0.71,0,1,10,27
72,1,0.7,0.58,0,0,14,41
73,1,0.97,0.8,0,1,11,32
74,1,0.78,0.69,0,0,10,44
75,1,0.34,0.68,0,0,9,43
76,1,0.98,0.62,0,0,11,36
77,1,0.66,0.64,0,0,10,41
78,1,0.86,0.65,0,0,11,33
79,1,0.77,0.66,0,0,9,41
80,1,0.82,0.43,0,0,13,42
81,1,0.47,0.66,0,0,11,35
82,1,0.58,0.68,0,1,6,39
83,1,0.74,0.69,0,0,14,41
84,1,0.85,0.72,0,0,12,43
85,1,0.71,0.68,0,0,11,43
86,1,0.68,0.57,0,0,13,38
87,1,0.73,0.54,0,0,13,40
88,1,0.93,0.6,0,0,10,39
89,1,0.85,0.64,0,1,4,39
90,1,0.9,0.63,0,0,14,39
91,1,0.66,0.71,0,0,12,41
92,1,0.74,0.62,0,0,13,44
93,1,0.7,0.7,0,0,12,40
94,1,0.5,0.57,0,1,8,35
95,1,,0.62,0,0,13,33
96,1,0.62,0.62,0,1,12,30
97,1,0.62,0.63,0,0,13,39
98,1,0.87,0.64,0,0,11,38
99,1,0.69,0.53,0,0,11,36
100,1,0.79,0.69,0,0,13,42
1,0,0.6,0.72,1,0,8,41
2,0,0.53,0.88,1,0,11,44
3,0,0.51,0.58,1,0,11,38
4,0,,0.87,1,0,11,38
5,0,0.31,0.79,1,1,4,41
6,0,0.65,0.89,1,1,5,39
7,0,0.53,0.93,1,0,11,41
8,0,0.75,0.72,1,0,10,40
9,0,0.42,0.83,1,0,11,43
10,0,0.52,1,1,0,13,43
11,0,0.69,0.76,1,0,7,43
12,0,0.67,0.59,1,0,8,41
13,0,0.83,0.78,1,0,8,42
14,0,0.43,0.58,1,0,9,42
15,0,0.49,0.78,1,0,10,40
16,0,0.04,0.72,1,1,5,41
17,0,0.51,0.68,1,0,10,41
18,0,0.63,0.63,1,0,11,39
19,0,0.58,0.89,1,0,12,43
20,0,0.56,0.41,1,0,8,39
21,0,0.55,0.71,1,0,10,39
22,0,0.29,0.85,1,0,11,37
23,0,0.85,0.63,1,0,11,39
24,0,0.61,0.84,1,0,1,43
25,0,0.55,0.87,1,0,10,44
26,0,0.33,0.55,1,0,10,37
27,0,0.66,0.64,1,0,14,42
28,0,0.29,0.61,1,1,6,39
29,0,0.42,0.58,1,0,12,31
30,0,0.6,0.46,1,1,5,38
31,0,0.63,0.81,1,0,13,38
32,0,0.39,0.75,1,0,10,42
33,0,0.77,0.82,1,1,6,40
34,0,0.55,0.76,1,0,13,36
35,0,0.33,0.64,1,1,8,33
36,0,0.39,0.65,1,0,8,41
37,0,0.46,0.77,1,0,11,43
38,0,0.42,0.45,1,0,12,36
39,0,0.92,0.47,1,1,7,30
40,0,0.43,0.64,1,0,13,42
41,0,0.61,0.57,1,1,8,31
42,1,0.73,0.69,1,0,10,42
43,1,0.82,0.71,1,1,2,40
44,1,0.7,0.63,1,0,14,34
45,1,0.6,0.58,1,0,10,42
46,1,0.69,0.69,1,1,6,39
47,1,0.62,0.74,1,1,7,36
48,1,0.58,0.78,1,0,14,35
49,1,0.5,,1,1,8,23
50,1,0.74,0.73,1,0,14,43
51,1,0.66,0.63,1,0,15,41
52,1,0.58,0.39,1,1,10,28
53,1,0.66,0.75,1,0,12,40
54,1,0.6,0.66,1,0,9,39
55,1,0.63,0.61,1,0,11,39
56,1,0.49,0.55,1,1,8,37
57,1,0.56,0.7,1,0,13,31
58,1,0.7,0.8,1,0,11,40
59,1,0.68,0.7,1,0,12,40
60,1,0.69,0.85,1,0,13,39
61,1,0.77,0.75,1,0,10,42
62,1,0.75,0.59,1,0,12,40
63,1,0.73,0.67,1,0,10,39
64,1,0.7,0.5,1,0,9,39
65,1,0.73,0.93,1,0,8,44
66,1,0.54,0.73,1,0,13,39
67,1,0.65,0.74,1,0,15,41
68,1,0.69,0.58,1,0,12,41
69,1,0.68,0.67,1,0,13,37
70,1,0.81,0.65,1,0,13,40
71,1,0.74,0.52,1,1,10,27
72,1,0.59,0.69,1,0,14,41
73,1,0.86,0.57,1,1,11,32
74,1,0.68,0.81,1,0,10,44
75,1,0.74,0.66,1,0,9,43
76,1,0.66,0.82,1,0,11,36
77,1,0.63,0.79,1,0,10,41
78,1,0.69,0.76,1,0,11,33
79,1,0.73,0.8,1,0,9,41
80,1,0.56,0.75,1,0,13,42
81,1,0.58,0.76,1,0,11,35
82,1,0.74,0.63,1,1,6,39
83,1,0.73,0.78,1,0,14,41
84,1,0.79,0.78,1,0,12,43
85,1,0.76,0.7,1,0,11,43
86,1,0.61,0.6,1,0,13,38
87,1,0.76,0.7,1,0,13,40
88,1,0.59,0.57,1,0,10,39
89,1,0.52,0.67,1,1,4,39
90,1,0.68,0.68,1,0,14,39
91,1,0.7,0.72,1,0,12,41
92,1,0.68,0.82,1,0,13,44
93,1,0.8,0.73,1,0,12,40
94,1,0.58,0.78,1,1,8,35
95,1,0.66,0.71,1,0,13,33
96,1,0.74,0.73,1,1,12,30
97,1,0.63,0.68,1,0,13,39
98,1,0.7,0.72,1,0,11,38
99,1,0.65,0.57,1,0,11,36
100,1,0.74,0.72,1,0,13,42